epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.2490, device='cuda:0')",0.0,tensor(21.8189),"tensor(2.0380, device='cuda:0')",tensor(27.1200)
1,"tensor(1.9387, device='cuda:0')",0.0,tensor(29.3909),"tensor(1.9303, device='cuda:0')",tensor(31.1300)
2,"tensor(1.8109, device='cuda:0')",0.0,tensor(36.0116),"tensor(1.6713, device='cuda:0')",tensor(39.9300)
3,"tensor(1.7671, device='cuda:0')",0.0,tensor(38.3374),"tensor(1.6934, device='cuda:0')",tensor(40.4100)
4,"tensor(1.7966, device='cuda:0')",0.0,tensor(37.2334),"tensor(1.8982, device='cuda:0')",tensor(31.0800)
5,"tensor(1.7525, device='cuda:0')",0.0,tensor(38.9498),"tensor(1.7087, device='cuda:0')",tensor(39.7500)
6,"tensor(1.7477, device='cuda:0')",0.0,tensor(39.3013),"tensor(1.9661, device='cuda:0')",tensor(27.9700)
7,"tensor(1.9798, device='cuda:0')",0.0,tensor(27.6844),"tensor(2.6448, device='cuda:0')",tensor(15.8900)
8,"tensor(1.9137, device='cuda:0')",0.0,tensor(30.8651),"tensor(1.8522, device='cuda:0')",tensor(32.0600)
9,"tensor(1.8364, device='cuda:0')",0.0,tensor(34.7881),"tensor(1.7626, device='cuda:0')",tensor(35.0900)
10,"tensor(1.7537, device='cuda:0')",0.0,tensor(38.3701),"tensor(1.8617, device='cuda:0')",tensor(32.2400)
11,"tensor(1.7696, device='cuda:0')",0.0,tensor(38.2061),"tensor(2.3542, device='cuda:0')",tensor(21.3600)
12,"tensor(1.7851, device='cuda:0')",0.0,tensor(37.1738),"tensor(1.8924, device='cuda:0')",tensor(31.7200)
13,"tensor(1.8270, device='cuda:0')",0.0,tensor(35.4236),"tensor(2.1773, device='cuda:0')",tensor(21.2600)
14,"tensor(1.8555, device='cuda:0')",0.0,tensor(33.7255),"tensor(2.0021, device='cuda:0')",tensor(28.4100)
15,"tensor(1.7799, device='cuda:0')",0.0,tensor(37.4785),"tensor(2.4709, device='cuda:0')",tensor(19.6500)
16,"tensor(1.8668, device='cuda:0')",0.0,tensor(33.5824),"tensor(1.7088, device='cuda:0')",tensor(39.9200)
17,"tensor(1.8082, device='cuda:0')",0.0,tensor(36.2666),"tensor(1.9701, device='cuda:0')",tensor(34.8700)
18,"tensor(1.7453, device='cuda:0')",0.0,tensor(39.2025),"tensor(1.6074, device='cuda:0')",tensor(41.0800)
19,"tensor(1.7906, device='cuda:0')",0.0,tensor(37.2583),"tensor(1.8329, device='cuda:0')",tensor(33.3000)
20,"tensor(1.8071, device='cuda:0')",0.0,tensor(36.7620),"tensor(1.7982, device='cuda:0')",tensor(36.2900)
21,"tensor(1.8230, device='cuda:0')",0.0,tensor(35.6204),"tensor(1.9685, device='cuda:0')",tensor(28.9000)
22,"tensor(1.7635, device='cuda:0')",0.0,tensor(38.3622),"tensor(1.7303, device='cuda:0')",tensor(38.0600)
23,"tensor(1.7182, device='cuda:0')",0.0,tensor(40.4985),"tensor(1.8462, device='cuda:0')",tensor(34.1400)
24,"tensor(1.6942, device='cuda:0')",0.0,tensor(41.4110),"tensor(1.5842, device='cuda:0')",tensor(45.4500)
25,"tensor(1.6960, device='cuda:0')",0.0,tensor(41.3809),"tensor(1.6349, device='cuda:0')",tensor(42.6300)
26,"tensor(1.7126, device='cuda:0')",0.0,tensor(40.4428),"tensor(1.9265, device='cuda:0')",tensor(29.4000)
27,"tensor(1.6109, device='cuda:0')",0.0,tensor(45.3281),"tensor(1.5128, device='cuda:0')",tensor(49.6700)
28,"tensor(1.5759, device='cuda:0')",0.0,tensor(46.9403),"tensor(1.3375, device='cuda:0')",tensor(53.4300)
29,"tensor(1.5298, device='cuda:0')",0.0,tensor(48.8387),"tensor(2.6476, device='cuda:0')",tensor(15.5000)
