epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.2443, device='cuda:0')",0.0,tensor(57.3480),"tensor(1.0896, device='cuda:0')",tensor(69.4200)
1,"tensor(0.8371, device='cuda:0')",0.0,tensor(72.3440),"tensor(0.8776, device='cuda:0')",tensor(72.6300)
2,"tensor(0.7215, device='cuda:0')",0.0,tensor(75.8100),"tensor(0.7997, device='cuda:0')",tensor(74.9500)
3,"tensor(0.6623, device='cuda:0')",0.0,tensor(77.9160),"tensor(0.7626, device='cuda:0')",tensor(74.9000)
4,"tensor(0.6108, device='cuda:0')",0.0,tensor(79.4600),"tensor(0.6899, device='cuda:0')",tensor(78.3100)
5,"tensor(0.5772, device='cuda:0')",0.0,tensor(80.5560),"tensor(0.6956, device='cuda:0')",tensor(77.9600)
6,"tensor(0.5470, device='cuda:0')",0.0,tensor(81.6640),"tensor(0.5464, device='cuda:0')",tensor(82.1200)
7,"tensor(0.5215, device='cuda:0')",0.0,tensor(82.3800),"tensor(0.6220, device='cuda:0')",tensor(79.6600)
8,"tensor(0.4999, device='cuda:0')",0.0,tensor(83.1800),"tensor(0.5817, device='cuda:0')",tensor(80.9500)
9,"tensor(0.4810, device='cuda:0')",0.0,tensor(83.7660),"tensor(0.5612, device='cuda:0')",tensor(81.9400)
10,"tensor(0.4606, device='cuda:0')",0.0,tensor(84.4180),"tensor(0.5870, device='cuda:0')",tensor(80.0800)
11,"tensor(0.4426, device='cuda:0')",0.0,tensor(85.0140),"tensor(0.6265, device='cuda:0')",tensor(80.0200)
12,"tensor(0.4267, device='cuda:0')",0.0,tensor(85.5280),"tensor(0.5357, device='cuda:0')",tensor(82.2200)
13,"tensor(0.4118, device='cuda:0')",0.0,tensor(85.8580),"tensor(0.5398, device='cuda:0')",tensor(82.6000)
14,"tensor(0.4024, device='cuda:0')",0.0,tensor(86.0660),"tensor(0.5989, device='cuda:0')",tensor(80.7400)
15,"tensor(0.3909, device='cuda:0')",0.0,tensor(86.6220),"tensor(0.5086, device='cuda:0')",tensor(83.2600)
16,"tensor(0.3736, device='cuda:0')",0.0,tensor(87.2380),"tensor(0.5118, device='cuda:0')",tensor(83.7200)
17,"tensor(0.3650, device='cuda:0')",0.0,tensor(87.5220),"tensor(0.5101, device='cuda:0')",tensor(83.6400)
18,"tensor(0.3528, device='cuda:0')",0.0,tensor(87.8760),"tensor(0.4698, device='cuda:0')",tensor(85.1200)
19,"tensor(0.3448, device='cuda:0')",0.0,tensor(88.1500),"tensor(0.5130, device='cuda:0')",tensor(83.4900)
20,"tensor(0.3308, device='cuda:0')",0.0,tensor(88.6460),"tensor(0.5559, device='cuda:0')",tensor(83.1100)
21,"tensor(0.3232, device='cuda:0')",0.0,tensor(88.9540),"tensor(0.5446, device='cuda:0')",tensor(82.6800)
22,"tensor(0.3126, device='cuda:0')",0.0,tensor(89.3020),"tensor(0.4592, device='cuda:0')",tensor(85.2100)
23,"tensor(0.3053, device='cuda:0')",0.0,tensor(89.3980),"tensor(0.5744, device='cuda:0')",tensor(82.6400)
24,"tensor(0.2983, device='cuda:0')",0.0,tensor(89.7100),"tensor(0.4908, device='cuda:0')",tensor(84.1000)
25,"tensor(0.2849, device='cuda:0')",0.0,tensor(90.1560),"tensor(0.5206, device='cuda:0')",tensor(83.9400)
26,"tensor(0.2834, device='cuda:0')",0.0,tensor(90.0800),"tensor(0.4873, device='cuda:0')",tensor(85.2400)
27,"tensor(0.2689, device='cuda:0')",0.0,tensor(90.5860),"tensor(0.4795, device='cuda:0')",tensor(85.2500)
28,"tensor(0.2666, device='cuda:0')",0.0,tensor(90.7340),"tensor(0.5007, device='cuda:0')",tensor(85.1100)
29,"tensor(0.2569, device='cuda:0')",0.0,tensor(91.1420),"tensor(0.5082, device='cuda:0')",tensor(84.2000)
