epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.5592, device='cuda:0')",0.0,tensor(47.6954),"tensor(1.0072, device='cuda:0')",tensor(69.8600)
1,"tensor(1.2895, device='cuda:0')",0.0,tensor(57.9795),"tensor(1.0657, device='cuda:0')",tensor(66.3500)
2,"tensor(1.1896, device='cuda:0')",0.0,tensor(61.5622),"tensor(0.7285, device='cuda:0')",tensor(76.8400)
3,"tensor(1.1315, device='cuda:0')",0.0,tensor(63.4467),"tensor(0.7342, device='cuda:0')",tensor(77.6600)
4,"tensor(1.0813, device='cuda:0')",0.0,tensor(65.5488),"tensor(0.6676, device='cuda:0')",tensor(80.4200)
5,"tensor(1.0439, device='cuda:0')",0.0,tensor(67.3616),"tensor(0.6663, device='cuda:0')",tensor(80.1300)
6,"tensor(1.0427, device='cuda:0')",0.0,tensor(67.1914),"tensor(0.6639, device='cuda:0')",tensor(80.0600)
7,"tensor(1.0141, device='cuda:0')",0.0,tensor(67.3071),"tensor(0.6258, device='cuda:0')",tensor(82.3600)
8,"tensor(0.9851, device='cuda:0')",0.0,tensor(68.5185),"tensor(0.6693, device='cuda:0')",tensor(80.8600)
9,"tensor(0.9848, device='cuda:0')",0.0,tensor(69.1618),"tensor(0.6606, device='cuda:0')",tensor(81.1300)
10,"tensor(0.9466, device='cuda:0')",0.0,tensor(69.9205),"tensor(0.7316, device='cuda:0')",tensor(80.4600)
11,"tensor(0.9591, device='cuda:0')",0.0,tensor(69.1466),"tensor(0.6989, device='cuda:0')",tensor(81.5800)
12,"tensor(0.9271, device='cuda:0')",0.0,tensor(71.0775),"tensor(0.6770, device='cuda:0')",tensor(81.7100)
13,"tensor(0.9348, device='cuda:0')",0.0,tensor(71.0280),"tensor(0.7440, device='cuda:0')",tensor(79.7700)
14,"tensor(0.9291, device='cuda:0')",0.0,tensor(70.5768),"tensor(0.6676, device='cuda:0')",tensor(82.1900)
15,"tensor(0.9004, device='cuda:0')",0.0,tensor(71.5198),"tensor(0.6743, device='cuda:0')",tensor(82.0400)
16,"tensor(0.9146, device='cuda:0')",0.0,tensor(71.4545),"tensor(0.6879, device='cuda:0')",tensor(81.6000)
17,"tensor(0.9019, device='cuda:0')",0.0,tensor(71.4323),"tensor(0.7090, device='cuda:0')",tensor(81.7600)
18,"tensor(0.8996, device='cuda:0')",0.0,tensor(71.2211),"tensor(0.6541, device='cuda:0')",tensor(82.9500)
19,"tensor(0.8976, device='cuda:0')",0.0,tensor(71.3187),"tensor(0.7200, device='cuda:0')",tensor(82.4200)
20,"tensor(0.8834, device='cuda:0')",0.0,tensor(72.5813),"tensor(0.6829, device='cuda:0')",tensor(82.7700)
21,"tensor(0.8742, device='cuda:0')",0.0,tensor(72.3386),"tensor(0.6557, device='cuda:0')",tensor(84.1600)
22,"tensor(0.8692, device='cuda:0')",0.0,tensor(73.2286),"tensor(0.6941, device='cuda:0')",tensor(82.3000)
23,"tensor(0.8712, device='cuda:0')",0.0,tensor(72.0759),"tensor(0.7901, device='cuda:0')",tensor(80.2200)
24,"tensor(0.8599, device='cuda:0')",0.0,tensor(73.2842),"tensor(0.7298, device='cuda:0')",tensor(81.8300)
25,"tensor(0.8663, device='cuda:0')",0.0,tensor(72.8395),"tensor(0.7081, device='cuda:0')",tensor(81.4800)
26,"tensor(0.8650, device='cuda:0')",0.0,tensor(72.3468),"tensor(0.7650, device='cuda:0')",tensor(80.4900)
27,"tensor(0.8632, device='cuda:0')",0.0,tensor(72.6353),"tensor(0.6907, device='cuda:0')",tensor(82.5700)
28,"tensor(0.8460, device='cuda:0')",0.0,tensor(73.5868),"tensor(0.6731, device='cuda:0')",tensor(83.1100)
29,"tensor(0.8814, device='cuda:0')",0.0,tensor(72.5378),"tensor(0.7574, device='cuda:0')",tensor(82.3700)
